catalogue,category,treatment,slug,slot,sort_order,url,storage,duplicate_count,issue
treatment,"Injectables","Dermal Fillers","dermal-fillers",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/dermal-fillers/dermal-fillers-gallery-1-ed1ae5583ca1.avif",s3,1,""
treatment,"Injectables","Dermal Fillers","dermal-fillers",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/dermal-fillers/dermal-fillers-gallery-2-bfebed13554b.avif",s3,1,""
treatment,"Laser & Energy","Laser Toning","laser-toning",HERO,0,"https://images.pexels.com/photos/3985356/pexels-photo-3985356.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Laser & Energy","Laser Toning","laser-toning",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/laser-toning/laser-toning-gallery-0-c5fdb0544b82.avif",s3,1,""
treatment,"Laser & Energy","Laser Toning","laser-toning",GALLERY,1,"https://images.pexels.com/photos/4586726/pexels-photo-4586726.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,""
treatment,"Laser & Energy","Laser Toning","laser-toning",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/laser-toning/laser-toning-gallery-2-346070f358c2.avif",s3,1,""
treatment,"Laser & Energy","Clinic Supplies & Devices","clinic-supplies-devices",HERO,0,"https://images.pexels.com/photos/8460227/pexels-photo-8460227.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Laser & Energy","Clinic Supplies & Devices","clinic-supplies-devices",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/clinic-supplies-devices/clinic-supplies-devices-gallery-0-6344be3e4169.avif",s3,1,""
treatment,"Laser & Energy","Clinic Supplies & Devices","clinic-supplies-devices",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/clinic-supplies-devices/clinic-supplies-devices-gallery-1-26158ee5843b.avif",s3,1,""
treatment,"Laser & Energy","Clinic Supplies & Devices","clinic-supplies-devices",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/clinic-supplies-devices/clinic-supplies-devices-gallery-2-d89096822630.avif",s3,1,""
treatment,"Lifting & Contouring","Thread Lift","thread-lift",HERO,0,"https://images.pexels.com/photos/3762410/pexels-photo-3762410.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Lifting & Contouring","Thread Lift","thread-lift",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/thread-lift/thread-lift-gallery-0-75254d41d41b.avif",s3,1,""
treatment,"Lifting & Contouring","Thread Lift","thread-lift",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/thread-lift/thread-lift-gallery-1-be35bc9f542c.avif",s3,1,""
treatment,"Lifting & Contouring","Thread Lift","thread-lift",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/thread-lift/thread-lift-gallery-2-8b973e043ba0.avif",s3,1,""
treatment,"Lifting & Contouring","HIFU Skin Tightening","hifu-ultherapy",HERO,0,"https://images.unsplash.com/photo-1598300195863-ac4191dd32a2?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
treatment,"Lifting & Contouring","HIFU Skin Tightening","hifu-ultherapy",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/hifu-ultherapy/hifu-ultherapy-gallery-0-b08a893be1df.avif",s3,1,""
treatment,"Lifting & Contouring","HIFU Skin Tightening","hifu-ultherapy",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/hifu-ultherapy/hifu-ultherapy-gallery-1-114ff719df53.avif",s3,1,""
treatment,"Lifting & Contouring","HIFU Skin Tightening","hifu-ultherapy",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/hifu-ultherapy/hifu-ultherapy-gallery-2-10b91dfc1e16.avif",s3,1,""
treatment,"Lifting & Contouring","Body Contouring & Body Fillers","body-contouring",HERO,0,"https://images.pexels.com/photos/7772642/pexels-photo-7772642.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Lifting & Contouring","Body Contouring & Body Fillers","body-contouring",GALLERY,0,"https://images.pexels.com/photos/5042605/pexels-photo-5042605.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,""
treatment,"Lifting & Contouring","Body Contouring & Body Fillers","body-contouring",GALLERY,1,"https://images.pexels.com/photos/7772681/pexels-photo-7772681.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,""
treatment,"Lifting & Contouring","Body Contouring & Body Fillers","body-contouring",GALLERY,2,"https://images.pexels.com/photos/27659253/pexels-photo-27659253.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,""
treatment,"Lifting & Contouring","Fat Dissolving (Lipolysis)","fat-dissolving",HERO,0,"https://images.pexels.com/photos/3985319/pexels-photo-3985319.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Lifting & Contouring","Fat Dissolving (Lipolysis)","fat-dissolving",GALLERY,0,"https://images.pexels.com/photos/4586708/pexels-photo-4586708.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,""
treatment,"Lifting & Contouring","Fat Dissolving (Lipolysis)","fat-dissolving",GALLERY,1,"https://images.pexels.com/photos/7581583/pexels-photo-7581583.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,""
treatment,"Lifting & Contouring","Fat Dissolving (Lipolysis)","fat-dissolving",GALLERY,2,"https://images.pexels.com/photos/8076091/pexels-photo-8076091.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,""
treatment,"Peels & Resurfacing","Chemical Peels","chemical-peels",HERO,0,"https://images.unsplash.com/photo-1713085085470-fba013d67e65?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
treatment,"Peels & Resurfacing","Chemical Peels","chemical-peels",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/chemical-peels/chemical-peels-gallery-0-d54f19117d1d.avif",s3,1,""
treatment,"Peels & Resurfacing","Chemical Peels","chemical-peels",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/chemical-peels/chemical-peels-gallery-1-6ad17b2f1cec.avif",s3,1,""
treatment,"Peels & Resurfacing","Chemical Peels","chemical-peels",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/chemical-peels/chemical-peels-gallery-2-8f411d2fc974.avif",s3,1,""
treatment,"Peels & Resurfacing","Microneedling","microneedling",HERO,0,"https://images.pexels.com/photos/5042629/pexels-photo-5042629.jpeg?auto=compress&cs=tinysrgb&w=1400",external,1,"no result images"
treatment,"Peels & Resurfacing","Microneedling","microneedling",GALLERY,0,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/microneedling/microneedling-gallery-0-f16099f03f08.avif",s3,1,""
treatment,"Peels & Resurfacing","Microneedling","microneedling",GALLERY,1,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/microneedling/microneedling-gallery-1-2a21ca239c46.avif",s3,1,""
treatment,"Peels & Resurfacing","Microneedling","microneedling",GALLERY,2,"https://blu-derma.s3.ap-south-1.amazonaws.com/bluderma/treatments/microneedling/microneedling-gallery-2-835344414cd6.avif",s3,1,""
treatment,"Peels & Resurfacing","Scar Revision","scar-revision",HERO,0,"https://images.unsplash.com/photo-1552693673-1bf958298935?auto=format&fit=crop&w=1400&q=80",external,1,"no result images"
